Academic Period,Course Section,AMH CF LRV Course Definition,Course Title,Registration Status,Anonymized ID
Fall 2024,BLST 130-01 - Transnational America,AMST 130/ BLST 130 - Transnational America,Transnational American Studies,Registered,117067550
Fall 2024,BLST 130-01 - Transnational America,AMST 130/ BLST 130 - Transnational America,Transnational American Studies,Registered,117093101
Fall 2024,BLST 130-01 - Transnational America,AMST 130/ BLST 130 - Transnational America,Transnational American Studies,Registered,117071364
Fall 2024,BLST 130-01 - Transnational America,AMST 130/ BLST 130 - Transnational America,Transnational American Studies,Registered,117367866
Fall 2024,BLST 130-01 - Transnational America,AMST 130/ BLST 130 - Transnational America,Transnational American Studies,Registered,117078691
Fall 2024,AMST 206-01 - Dialogues/Latinx and LAS,AMST 206/ LLAS 200 - Dialogues/Latinx and LAS,Major Dialogues in Latinx and Latin American Studies,Registered,117059981
Fall 2024,AMST 206-01 - Dialogues/Latinx and LAS,AMST 206/ LLAS 200 - Dialogues/Latinx and LAS,Major Dialogues in Latinx and Latin American Studies,Registered,117894933
Fall 2024,AMST 206-01 - Dialogues/Latinx and LAS,AMST 206/ LLAS 200 - Dialogues/Latinx and LAS,Major Dialogues in Latinx and Latin American Studies,Registered,302959578
Fall 2024,LLAS 200-01 - Dialogues/Latinx and LAS,AMST 206/ LLAS 200 - Dialogues/Latinx and LAS,Major Dialogues in Latinx and Latin American Studies,Registered,115361742
Fall 2024,LLAS 200-01 - Dialogues/Latinx and LAS,AMST 206/ LLAS 200 - Dialogues/Latinx and LAS,Major Dialogues in Latinx and Latin American Studies,Registered,118240055
Fall 2024,LLAS 200-01 - Dialogues/Latinx and LAS,AMST 206/ LLAS 200 - Dialogues/Latinx and LAS,Major Dialogues in Latinx and Latin American Studies,Registered,114804340
Fall 2024,LLAS 200-01 - Dialogues/Latinx and LAS,AMST 206/ LLAS 200 - Dialogues/Latinx and LAS,Major Dialogues in Latinx and Latin American Studies,Registered,114719453
Fall 2024,LLAS 200-01 - Dialogues/Latinx and LAS,AMST 206/ LLAS 200 - Dialogues/Latinx and LAS,Major Dialogues in Latinx and Latin American Studies,Registered,118544246
Fall 2024,LLAS 200-01 - Dialogues/Latinx and LAS,AMST 206/ LLAS 200 - Dialogues/Latinx and LAS,Major Dialogues in Latinx and Latin American Studies,Registered,114849146
Fall 2024,LLAS 200-01 - Dialogues/Latinx and LAS,AMST 206/ LLAS 200 - Dialogues/Latinx and LAS,Major Dialogues in Latinx and Latin American Studies,Registered,118718017
Fall 2024,AMST 209-01 - Culture Wars in U.S. Ed,AMST 209/ EDST 210 - Culture Wars in U.S. Ed,Culture Wars in U.S. Education,Registered,78635191
Fall 2024,AMST 209-01 - Culture Wars in U.S. Ed,AMST 209/ EDST 210 - Culture Wars in U.S. Ed,Culture Wars in U.S. Education,Registered,116435675
Fall 2024,AMST 209-01 - Culture Wars in U.S. Ed,AMST 209/ EDST 210 - Culture Wars in U.S. Ed,Culture Wars in U.S. Education,Registered,117876103
Fall 2024,AMST 209-01 - Culture Wars in U.S. Ed,AMST 209/ EDST 210 - Culture Wars in U.S. Ed,Culture Wars in U.S. Education,Registered,117923814
Fall 2024,AMST 209-01 - Culture Wars in U.S. Ed,AMST 209/ EDST 210 - Culture Wars in U.S. Ed,Culture Wars in U.S. Education,Registered,117104787
Fall 2024,AMST 209-01 - Culture Wars in U.S. Ed,AMST 209/ EDST 210 - Culture Wars in U.S. Ed,Culture Wars in U.S. Education,Registered,114988042
Fall 2024,AMST 209-01 - Culture Wars in U.S. Ed,AMST 209/ EDST 210 - Culture Wars in U.S. Ed,Culture Wars in U.S. Education,Registered,118666491
Fall 2024,EDST 210-01 - Culture Wars in U.S. Ed,AMST 209/ EDST 210 - Culture Wars in U.S. Ed,Culture Wars in U.S. Education,Registered,117065370
Fall 2024,EDST 210-01 - Culture Wars in U.S. Ed,AMST 209/ EDST 210 - Culture Wars in U.S. Ed,Culture Wars in U.S. Education,Registered,302977864
Fall 2024,EDST 210-01 - Culture Wars in U.S. Ed,AMST 209/ EDST 210 - Culture Wars in U.S. Ed,Culture Wars in U.S. Education,Registered,117917760
Fall 2024,EDST 210-01 - Culture Wars in U.S. Ed,AMST 209/ EDST 210 - Culture Wars in U.S. Ed,Culture Wars in U.S. Education,Registered,302833760
Fall 2024,EDST 210-01 - Culture Wars in U.S. Ed,AMST 209/ EDST 210 - Culture Wars in U.S. Ed,Culture Wars in U.S. Education,Registered,117616293
Fall 2024,EDST 210-01 - Culture Wars in U.S. Ed,AMST 209/ EDST 210 - Culture Wars in U.S. Ed,Culture Wars in U.S. Education,Registered,114673981
Fall 2024,EDST 210-01 - Culture Wars in U.S. Ed,AMST 209/ EDST 210 - Culture Wars in U.S. Ed,Culture Wars in U.S. Education,Registered,117936529
Fall 2024,EDST 210-01 - Culture Wars in U.S. Ed,AMST 209/ EDST 210 - Culture Wars in U.S. Ed,Culture Wars in U.S. Education,Registered,117213894
Fall 2024,EDST 210-01 - Culture Wars in U.S. Ed,AMST 209/ EDST 210 - Culture Wars in U.S. Ed,Culture Wars in U.S. Education,Registered,118214019
Fall 2024,EDST 210-01 - Culture Wars in U.S. Ed,AMST 209/ EDST 210 - Culture Wars in U.S. Ed,Culture Wars in U.S. Education,Registered,117476731
Fall 2024,EDST 210-01 - Culture Wars in U.S. Ed,AMST 209/ EDST 210 - Culture Wars in U.S. Ed,Culture Wars in U.S. Education,Registered,117298781
Fall 2024,EDST 210-01 - Culture Wars in U.S. Ed,AMST 209/ EDST 210 - Culture Wars in U.S. Ed,Culture Wars in U.S. Education,Registered,114736951
Fall 2024,EDST 210-01 - Culture Wars in U.S. Ed,AMST 209/ EDST 210 - Culture Wars in U.S. Ed,Culture Wars in U.S. Education,Registered,115916964
Fall 2024,EDST 210-01 - Culture Wars in U.S. Ed,AMST 209/ EDST 210 - Culture Wars in U.S. Ed,Culture Wars in U.S. Education,Registered,114832313
Fall 2024,EDST 210-01 - Culture Wars in U.S. Ed,AMST 209/ EDST 210 - Culture Wars in U.S. Ed,Culture Wars in U.S. Education,Registered,117940647
Fall 2024,AMST 210-01 - American Jewish Keywords,AMST 210 - American Jewish Keywords,American Jewish Keywords,Registered,117007729
Fall 2024,AMST 210-01 - American Jewish Keywords,AMST 210 - American Jewish Keywords,American Jewish Keywords,Registered,118191314
Fall 2024,AMST 210-01 - American Jewish Keywords,AMST 210 - American Jewish Keywords,American Jewish Keywords,Registered,117059558
Fall 2024,AMST 210-01 - American Jewish Keywords,AMST 210 - American Jewish Keywords,American Jewish Keywords,Registered,117025167
Fall 2024,AMST 210-01 - American Jewish Keywords,AMST 210 - American Jewish Keywords,American Jewish Keywords,Registered,113614580
Fall 2024,AMST 210-01 - American Jewish Keywords,AMST 210 - American Jewish Keywords,American Jewish Keywords,Registered,79478377
Fall 2024,AMST 210-01 - American Jewish Keywords,AMST 210 - American Jewish Keywords,American Jewish Keywords,Registered,115079772
Fall 2024,AMST 210-01 - American Jewish Keywords,AMST 210 - American Jewish Keywords,American Jewish Keywords,Registered,114765832
Fall 2024,AMST 210-01 - American Jewish Keywords,AMST 210 - American Jewish Keywords,American Jewish Keywords,Registered,117876648
Fall 2024,AMST 210-01 - American Jewish Keywords,AMST 210 - American Jewish Keywords,American Jewish Keywords,Registered,117061374
Fall 2024,AMST 210-01 - American Jewish Keywords,AMST 210 - American Jewish Keywords,American Jewish Keywords,Registered,114756871
Fall 2024,AMST 210-01 - American Jewish Keywords,AMST 210 - American Jewish Keywords,American Jewish Keywords,Registered,113614640
Fall 2024,AMST 210-01 - American Jewish Keywords,AMST 210 - American Jewish Keywords,American Jewish Keywords,Registered,117057681
Fall 2024,AMST 210-01 - American Jewish Keywords,AMST 210 - American Jewish Keywords,American Jewish Keywords,Registered,116995922
Fall 2024,AMST 246-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,115948630
Fall 2024,AMST 246-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,115949357
Fall 2024,AMST 246-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,118716262
Fall 2024,AMST 246-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,114816450
Fall 2024,AMST 246-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,114721088
Fall 2024,AMST 246-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,117127855
Fall 2024,AMST 246-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,113614640
Fall 2024,AMST 246-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,303047978
Fall 2024,AMST 246-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,115918235
Fall 2024,AMST 246-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,116880095
Fall 2024,AMST 246-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,116878460
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,114924528
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,112408895
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,114782241
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,115952868
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,114820688
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,113637043
